nikkud,transliteration,word
מוֹבֶלֶת פֶּחָם,movelet pekham,מובלת פחם
מוֹבֶלֶת צָבָא,movelet tsava,מובלת צבא
מוּבָן מֵאֵלָיו,muvan me'elav,מובן מאליו
מוּג לֵב,mug lev,מוג לב
מוּגָז,mugaz,מוגז
מוֹדָה,moda,מודה
מוֹדוּס וִיוֶנְדִי,modus vivendi,מודוס ויונדי
מוֹדִינְג,moding,מודינג
מוֹדִיעִין,modi'in,מודיעין
מוֹדֶם,modem,מודם
מוּדָעוּת עַצְמִית,mudaut atsmit,מודעות עצמית
מוֹדַעַת אֵבֶל,moda'at evel,מודעת אבל
מוֹדֶרְנִיזְם,modernizem,מודרניזם
מוּזֵאוֹן,muzeon,מוזאון
מוּזִיקַאי,muzikai,מוזיקאי
מוּזִיקָה,muzika,מוזיקה
מוּזִיקָה אֶלֶקְטְרוֹנִית,muzika elektronit,מוזיקה אלקטרונית
מוּזִיקוֹלוֹגְיָה,muzicologya,מוזיקולוגיה
מוּזִיקָלִי,muzikali,מוזיקלי
מוּזְלְמָן,muzleman,מוזלמן
מוּזָר,muzar,מוזר
מוֹחוֹן,mokhon,מוחון
מוּחְטָה,moohta,מוחטה
מוֹחָן,mokhan,מוחן
מוֹט,mot,מוט
מוֹט הַחַרְטוֹם,mot hakhartom,מוט החרטום
מוט הַצָּתָה,mot hatsata,מוט הצתה
מוטאז,,מוטאז
מוטגן,,מוטגן
מוטואליזם,,מוטואליזם
מוֹטוֹרִיקָה,motorika,מוטוריקה
מוֹטִיב,motiv,מוטיב
מוֹטֶל,motel,מוטל
מוּטַצְיָה,mutatsia,מוטציה
מוּטְרָה,mutra,מוטרה
מוֹךְ,,מוך
מוֹכִיחַ בַּשַּׁעַר,mokhiah basha'ar,מוכיח בשער
מוֹכֵר,moher,מוכר
מוֹל,mol,מול
מוֹלֶדֶת,moledet,מולדת
מולטיגרף,,מולטיגרף
מוּלְטִידִּיסְצִיפְּלִינָרִי,,מולטידיסציפלינרי
מולטידיסציפלינריות,,מולטידיסציפלינריות
מולטילינגואל,,מולטילינגואל
מוֹלִיבְּדֶן,molybden,מוליבדן
מוֹלִיךְ לְמֶחֱצָה,molikh lemekhetsa,מוליך למחצה
מוֹלִיכוּת חַשְׁמַלִּית,molikhut kashmalit,מוליכות חשמלית
מולליות,,מולליות
מוֹלֶקוּלָה,,מולקולה
מוּם,mum,מום
מוֹמֶנְט דִּיפּוֹל,moment dipol,מומנט דיפול
מומנט סייסמי,,מומנט סייסמי
מוּמָס,mumas,מומס
מוֹנְדִּיאָל,mondial,מונדיאל
מוֹנֶה גָּדוֹל,mone gadol,מונה גדול
מוֹנוֹגַמְיָה,monogamya,מונוגמיה
מוֹנוֹגְרָמָה,monograma,מונוגרמה
מוֹנוֹטְרוֹפִי,monotrofi,מונוטרופי
מוֹנוֹלוֹג,monolog,מונולוג
מוֹנוֹלִית,monolit,מונולית
,monoment,מונומנט
מוֹנוֹמֶר,monomer,מונומר
מוֹנוֹפּוֹל {{משני|א}},monopol,מונופול
מוֹנוֹפּוֹל {{משני|ב}},monopol,מונופול
מונופילטיות,,מונופילטיות
מוֹנוֹפְּסוֹן,monofson,מונופסון
מוֹנוֹקְל,monokel,מונוקל
מוֹנוֹרֵיְל,monoreyl,מונוריל
מונטמורילוניט,,מונטמורילוניט
מוֹנְטֶנֶגְרוֹ,,מונטנגרו
מוניזם,munizm,מוניזם
מוֹנִיטוֹר,monitor,מוניטור
מוֹנִיטִין,monitin,מוניטין
מונינג,,מונינג
מוֹנִית,monit,מונית
מוֹנִית שֵׁרוּת,monit sherut,מונית שרות
מוֹנַרְכְיָה,monarhya,מונרכיה
מוֹנַרְכְיָה חֻקָּתִית,monarkyha khokatit,מונרכיה חקתית
מוּסָךְ,musakh,מוסך
מוּסָקָה,musaka,מוסקה
מוּסָר,musar,מוסר
מוּסַר הַשְׂכֵּל,musar heskel,מוסר השכל
מוֹעֲדוֹן,moadon,מועדון
מוֹעֲדוֹן חֲבֵרִים,moadon khaverim,מועדון חברים
מוֹעֲדוֹן לַיְלָה,moadon lila,מועדון לילה
מוֹעֲדֵי הַיָּם,mo'adey hayam,מועדי הים
מוּעָט הַמַּחֲזִיק אֶת הַמְרֻבֶּה,muat hamakhazik et hamerubeh,מועט המחזיק את המרבה
מוֹעָצָה אֲזוֹרִית,moatsa ezorit,מועצה אזורית
מוֹעָצָה מְקוֹמִית,moatsa mekomit,מועצה מקומית
מוֹפָזִית,mofazit,מופזית
מוּפְלֶטָה,mufletah,מופלטה
מוֹפָע,mofa,מופע
מוֹפֵת,,מופת
מוֹצִ'ילָה,mochila,מוצ'ילה
מוּצָק,mutsak,מוצק
מוּצָר,mutsar,מוצר
מוּצָר גִּיפֶן,mutsar gifen,מוצר גיפן
מוּצָר מְשֻׁתָּף,mutsar meshutaf,מוצר משתף
מוּצָר צִבּוּרִי,mutsar tsiburi,מוצר צבורי
מוֹקֵד,moked,מוקד
מוֹקֵד שֵׁרוּת,moked sherut,מוקד שרות
מוֹקָה,moka,מוקה
מוֹקֵשׁ,mokesh,מוקש
מוֹקֵשׁ יַמִּי,mokesh yami,מוקש ימי
מוֹרְבִּידִי,,מורבידי
מוֹרַג,,מורג
מוֹרֶה {{משני|א}},mo're,מורה
מוֹרֶה {{משני|ב}},more,מורה
מוֹרֶה {{משני|ג}},more,מורה
מוֹרָה,mo'ra,מורה
מוֹרֵה דֶּרֶךְ,more derekh,מורה דרך
מוֹרֶה נָבוֹכִים,mo're navokhim,מורה נבוכים
מוֹרֶה פְּרָטִי,mo're prati,מורה פרטי
מורטדלה,,מורטדלה
מוּרְיָס,muriyas,מוריס
מוּרְסָה,mursa,מורסה
מורפוגן,,מורפוגן
מוֹרְפוֹלוֹגִי,morfologi,מורפולוגי
מוֹרְפוֹלוֹגְיָה,morfologya,מורפולוגיה
מוֹרְפְיוּם,,מורפיום
מוֹרְפֶמָה,morfema,מורפמה
מוֹרֶשֶׁת,moreshet,מורשת
מַשּוֹא פָּנִים,,מושא פנים
מוֹשָׁב,moshav,מושב
מוֹשָׁבָה,moshava,מושבה
מוּשָׁט,mushat,מושט
מוּשְׁט,musht,מושט
מָוֶת,mavet,מות
מָוֶת מוֹחִי,mavet mokhi,מות מוחי
מָוֶת קְלִינִי,mavet klini,מות קליני
מוֹתֵחַ,moteakh,מותח
מוֹתֵחַ,moteakh,מותח
מוֹתְחָן בָּרְגִּי,motkhan borgi,מותחן ברגי
מִזְבֵּחַ,mizbe'akh,מזבח
מִזְבָּלָה,mizbala,מזבלה
מֶזֶג,mezeg,מזג
מַזְגָן,mazgan,מזגן
מְזַהֵם,nezaem,מזהם
מְזֹהָם,mezoham,מזהם
מִזְוָדָה,mizvada,מזודה
מִזְוָדֹנֶת,,מזודונת
מזודרם,,מזודרם
מְזֻוֶּה,mezuveh,מזוה
מְזָוֶה,mezave,מזוה
מְזוּזָה,mezuza,מזוזה
מֵזוֹזוֹאִיקוֹן,mezozo'ikon,מזוזואיקון
מְזוּזַת הַיַּרְכָּתַיִם,mezuzat hayarkatayim,מזוזת הירכתים
מָזוּט,mazut,מזוט
מזוטרפי,,מזוטרפי
מזוטרפיה,,מזוטרפיה
מָזוֹכִיזְם,mazokhizem,מזוכיזם
מָזוֹכִיסְט,mazokhizem,מזוכיסט
מָזוֹן,mazon,מזון
מָזוֹן אוֹרְגָּנִי,mazon organi,מזון אורגני
מָזוֹן מָהִיר,mazon mahir,מזון מהיר
מְזוֹנוֹת,,מזונות
מזופרוטרוזואיקון,,מזופרוטרוזואיקון
מָזוֹר {{משני|ב}},mazor,מזור
מָזוֹר {{משני|א}},mazor,מזור
מָזוֹר {{משני|ג}},mazor,מזור
מֵזַח,mezakh,מזח
מִזְחֶלֶת,mizkhelet,מזחלת
מַזָּל,mazal,מזל
מַזָּל טוֹב,mazal tov,מזל טוב
מַזָּל שֶׁל גּוֹי,mazal shel goy,מזל של גוי
מִזְלָג,mizlag,מזלג
מַזְלֵג,mazleg,מזלג
מזליסט,,מזליסט
מְזִמָּה,mezima,מזמה
מַזְמִינוּת,mazminut,מזמינות
מְזֻמָּן,mezuman,מזמן
מַזְמֵרָה,Mazmera,מזמרה
מִזְנוֹן,miznon,מזנון
מִזְנוֹנַאי,miznonaei,מזנונאי
מזנכימיה,,מזנכימיה
מַזְנֵק,maznek,מזנק
מִזְעוּר,miz'ur,מזעור
מִזְעָר,miz׳ar,מזער
מְזְקֻנְקָן,mezkunkan,מזקנקן
מִזְרָח,mizrakh,מזרח
מִזְרְחָן,mizrkhan,מזרחן
מִזְרְחָנוּת,mizrkhanut,מזרחנות
מִזְרָן,mizran,מזרן
מַזְרֵק,mazrek,מזרק
מֵחַ,meakh,מח
מֹחַ,moakh,מח
מֵחַ עֶצֶם <small>או</small> מֹחַ עֶצֶם,meakh ׳etsem<BR>moakh ׳etsem,מח עצם
מַחְבוֹא,makhvo,מחבוא
מַחְבּוֹאִים,makhboim,מחבואים
מַחְבּוֹשׁ,makhbosh,מחבוש
מַחְבָּר (גם: מַחְבֵּר),makhbar או makhber,מחבר
מַחְבֶּרֶת,makhberet,מחברת
מַחֲבַת,mahavat,מחבת
מַחְגֵּר,makhger,מחגר
מַחְגֵּר מְשֻׁנָּן,makhger meshunan,מחגר משנן
מְחַדֵּד,mekhaded,מחדד
מחדר פלוטוני,,מחדר פלוטוני
מְחוּגָה,mekhuga,מחוגה
מֶחֱוָה גּוּפָנִית,mekhva gufanit,מחוה גופנית
מָחוֹךְ,makhokh,מחוך
מָחוֹל (גם: מְחוֹלָה),"makhol, mekhola",מחול
מְחוֹלִית,mekholit,מחולית
מְחוֹלֵל (גם: מְחוֹלֵל חַשְׁמַל),mekholel,מחולל
מַחְוָן,makhvan,מחון
מְחוֹרֵר,mechorer,מחורר
מַחֲזָאוּת,makhazaut,מחזאות
מַחֲזַאי,makhazai,מחזאי
מַחֲזֶה,makhaze,מחזה
מַחְזוֹר,makhzor,מחזור
מִחְזוּר,mihzur,מחזור
מַחְזוֹר הַדָּם,,מחזור הדם
מַחְזוֹר הַדָּם הַגָּדוֹל,,מחזור הדם הגדול
מַחְזוֹר הַדָּם הַקָטָן,,מחזור הדם הקטן
מַחְזוֹר הַדָּם הַרֵאָתִי,makhzor hadam hareati,מחזור הדם הראתי
מַחְזוֹר קַרְנוֹ,mahzor karno,מחזור קרנו
מַחֲזֶמֶר,makhazemer,מחזמר
מַחַט,makhat,מחט
מְחִי,mekhi,מחי
מְחֻיָּבוּת,mekhuyavut,מחיבות
מְחִילָה,mekhila,מחילה
מְחִיצָה,mekhitsa,מחיצה
מְחִיר,mekhir,מחיר
מְחִיר מְחִירוֹן,mekhir mekhiron,מחיר מחירון
מְחִירוֹן,mekhiron,מחירון
מַחְלָבָה,,מחלבה
מַחֲלָה,makhala,מחלה
מְחִלָּה,mekhila,מחלה
מַחֲלָה טֶרְמִינָלִית,makhala terminalit,מחלה טרמינלית
מַחֲלָה מִדַּבֶּקֶת,makhala midabeket,מחלה מדבקת
מַחֲלָה סוֹפָנִית,makhala sofanit,מחלה סופנית
מֶחְלָף,mekhlaf,מחלף
מַחֲלֹקֶת,makhloket,מחלקת
מַחֲלַת הַנְּשִׁיקָה,makhalat haneshika,מחלת הנשיקה
מַחֲלַת יָם,makhalat yam,מחלת ים
מחלת ירח,,מחלת ירח
מַחֲלַת מִין,makhalat min,מחלת מין
מחלת מנייר,,מחלת מנייר
מַחֲלַת נְסִיעָה,makhalat nesi'ah,מחלת נסיעה
מַחֲלַת נֶפֶשׁ,makhalat nefesh,מחלת נפש
מֵחַם,mekham,מחם
מַחְמָאָה,makhma'a,מחמאה
מַחְמוּד,machmud,מחמוד
מְחֻמָּשׁ,mekhumash,מחמש
מַחֲנָאוּת,makhana'ut,מחנאות
מַחֲנֶה,mahane,מחנה
מַחֲנֵה הַשְׁמָדָה,makhane hashmada,מחנה השמדה
מַחֲנֶה עֲבוֹדָה,mahane avoda,מחנה עבודה
מַחֲנֵה קַיִץ,makhane kayits,מחנה קיץ
מַחֲנֶה רִכּוּז,makhane rikuz,מחנה רכוז
מַחֲנַיִם,makhanayim,מחנים
מְחַנֵּךְ,makhanekh,מחנך
מְחֻנָּךְ,mekhonakh,מחנך
מַחֲסֶה <small>(או: מַחְסֶה)</small>,"makhase, makhse",מחסה
מַחְסוֹם,makhsom,מחסום
מַחְסָן,machsan,מחסן
מַחְסָנִית,makhsanit,מחסנית
מְחֻסְפָּס,,מחספס
מַחְפֵּר,makhper,מחפר
מַחְצָב,makhtsav,מחצב
מֶחֱצָה,mekhetsa,מחצה
"מְחִצָּה, מְחִיצָה",mekhitsa,מחצה
מַחֲצִית,makhatsit,מחצית
מַחֲצִית הַשֶּׁקֶל,makhatsit hashekel,מחצית השקל
מַחְצֶלֶת,mahtselet,מחצלת
מַחַק,makhak,מחק
מֶחְקָר,mekhkar,מחקר
מֶחְקָר אֵיכוּתִי,mekhkar ekhuti,מחקר איכותי
מֶחְקַר אֹרֶךְ,mekhkar orekh,מחקר ארך
מֶחְקַר גִּשּׁוּשׁ,mekhkar gishush,מחקר גשוש
מֶחְקָר כַּמּוּתִי,mekhkar kamuti,מחקר כמותי
מֶחְקָר מִתְאָמִי,mekhkar mit'ami,מחקר מתאמי
מֶחְקַר רֹחַב,mekhkar rokhav,מחקר רחב
מֶחְקָר תֵּאוּרִי,mekhkar te'uri,מחקר תאורי
מָחָר,makhar,מחר
מַחֲרׂזֶת (גם: מַחְרֹזֶת){{הפניה|*|חטף}},"machrozet, macharozet",מחרזת
מַחְרֵטָה,makhretah,מחרטה
מַחֲרֹקֶת (גם: מַחְרֹקֶת),"makhroket, makharoket",מחרקת
מַחֲרֵשָׁה (גם: מַחֲרֶשֶׁת),"maharesha, mahareshet",מחרשה
מָחֳרָתַיִם,"mokhoratayim,<BR>makhoratayim",מחרתים
מַחְשֵׁב,makhshev,מחשב
מַחְשֵׁב זוֹמְבִּי,makhshev zombi,מחשב זומבי
מַחְשֵׁב טֶלֶוִיזְיָה,makhshev televizya,מחשב טלויזיה
מַחְשֵׁב כַּף יָד,makhshev kaf yad,מחשב כף יד
מַחְשֵׁב לוּחַ,makhshev luakh,מחשב לוח
מַחְשֵׁב נַיָּד,makhshev nayad,מחשב ניד
מַחְשֵׁב נִשָּׂא,mahshev nisa,מחשב נשא
מַחְשֵׁב עָל,makhshev al,מחשב על
מַחְשֵׁב צְלִילָה,makhshev tslila,מחשב צלילה
מַחְשָׁבָה,makhshava,מחשבה
מַחְשְׁבוֹן,makhshevon,מחשבון
מַחְשְׁבוֹן מַדָּעִי,makshevon madai,מחשבון מדעי
מַחְשֶׁבֶת,,מחשבת
מַחֲשׂוֹף (גם: מַחְשׂוֹף),"mahsof, mahasof",מחשוף
מַחְתָּה,makhta,מחתה
מְחֻתָּל,mekhotal,מחתל
מְחַתֵּל,mekhatel,מחתל
מַחְתֶּרֶת,makhtheret,מחתרת
מֶטֶאוֹר,meteor,מטאור
מטאורואיד,,מטאורואיד
מֵטֵאוֹרוֹלוֹגְיָה,meteorologya,מטאורולוגיה
מֶטֶאוֹרִיט,,מטאוריט
מַטְאֲטֵא,mat'ate,מטאטא
מטאמגנטיות,,מטאמגנטיות
מטאפילוסופיה,,מטאפילוסופיה
מַטְבּוּחָה,natbukha,מטבוחה
מֶטָבּוֹלִיזְם,metabolizem,מטבוליזם
מַטְבֵּחַ,matbeakh,מטבח
מִטְבָּח,mitbakh,מטבח
מַטְבֵּעַ,matbea,מטבע
מַטְבֵּעַ חוּץ,matbe'a khuts,מטבע חוץ
מַטְבֵּעַ לָשׁוֹן,matbea lashon,מטבע לשון
מִטְבָּעָה,,מטבעה
מִטָּה,mita,מטה
מַטֶּה,mate,מטה
מַטֶּה הַעֹגֶן,mateh ha'ogen,מטה העגן
מִטָּה זוּגִית,mita zugit,מטה זוגית
מַּטֶּה כְּלָלִי,mate klali,מטה כללי
מְטַהֵר אֲוִיר,metaher avir,מטהר אויר
מִטְוָח,mitvakh,מטוח
מְטוּלָה,metula,מטולה
מֶטוֹנִימְיָה,metonimya,מטונימיה
מָטוֹס,matos,מטוס
מָטוֹס אַמְפִיבִּי,matos amfibi,מטוס אמפיבי
מְטוֹס בִּיוּן,mtos biyun,מטוס ביון
מְטוֹס יָם,metos yam,מטוס ים
מְטוֹס מַעֲקָב,,מטוס מעקב
מְטוֹס נוֹסְעִים,metos nos'im,מטוס נוסעים
מָטוֹס נְיָר,matos nyar,מטוס ניר
מְטוֹס סִילוֹן,metos silon,מטוס סילון
מְטוֹס קְרָב,Metos krav,מטוס קרב
מְטוֹס רִגּוּל,metos rigul,מטוס ריגול
מָטוֹס תִּדְלוּק,matos tidluk,מטוס תדלוק
מְטוֹס תּוֹבָלָה,metos tovalah,מטוס תובלה
מְטוֹס תְּקִיפָה,metos tkifah,מטוס תקיפה
מַטָּח דֹּפֶן,matakh dofen,מטח דופן
מְטֻטֶּלֶת,metutelet,מטטלת
מְטַיֵּל,metayel,מטיל
מְטִיל,metil,מטיל
מטלוגרפיה,,מטלוגרפיה
מֶטָלוּרְגְּיָה,,מטלורגיה
מִטַּלְטְלִין,mitaltelin,מטלטלין
מטלימניון,,מטלימניון
מַטְלִית,matlit,מטלית
מטמברה,,מטמברה
מֶטָמוֹרְפוֹזָה,metamorfoza,מטמורפוזה
מְטֻמְטָם,metumtam,מטמטם
מַטְמֵן,matmen,מטמן
מַטְעֵן,mat'en,מטען
מִטְעָן,mit'an,מטען
מִטְעַן חַבָּלָה,mitan khabala,מטען חבלה
מִטְעָן חַשְׁמַלִּי,,מטען חשמלי
מֶטָפוֹרָה,metafora,מטפורה
מִטְפַּחַת,mitpakhat,מטפחת
מִטְפַּחַת רֹאשׁ,mitpakhat rosh,מטפחת ראש
מֶטָפִיזִיקָה,metafizika,מטפיזיקה
מטפלזיה,,מטפלזיה
מָטָר,matar,מטר
מֶטֶר,meter,מטר
מֶטֶר מְעֻקָּב,meter meukav,מטר מעקב
מִטְרָד,mitrad,מטרד
מַטָּרָה,matara,מטרה
מטרואיד,,מטרואיד
מֶטְרוֹלוֹגְיָה,metrologya,מטרולוגיה
מַטְרוֹנָה,matrona,מטרונה
מֶטְרוֹנוֹם,,מטרונום
מֶטְרוֹנוֹמִיקָה,,מטרונומיקה
מַטְרוֹנִית,matronit,מטרונית
מַטְרוֹנִיתָא,matronita,מטרוניתא
מֶטְרוֹפּוֹלִיט,,מטרופוליט
מֶטְרוֹפּוֹלִין,metropolin,מטרופולין
מֶטְרִי,metri,מטרי
מַטְרִיאַרְכְיָה,,מטריארכיה
מִטְרִיָּה,mitriya,מטריה
מַטְרִיצָה,matritsa,מטריצה
מַטְרִיצָה רִבּוּעִית,matritsa ribuit,מטריצה רבועית
מַטְרֵפָה,matrefa,מטרפה
מֶטָתֶזָה,,מטתזה
מִי {{משני|ב}},mi,מי
מִי {{משני|א}},mi,מי
מֵי אָפְסַיִם,mei ofsayim,מי אפסים
מי גבאים,,מי גבאים
מֵי וְרָדִים,,מי ורדים
מֵי זְבוֹרִית,mey zvorit,מי זבורית
מֵי זָהָב,mei zasef,מי זהב
מֵי זְהֵר,mey zher,מי זהר
מֵי חַמְצָן,mei khamtsan,מי חמצן
מֵי יָם,mey yam,מי ים
מִי יִתֵּן,mi yiten,מי יתן
מֵי כֶּסֶף,mei kesef,מי כסף
מֵי מֶלֶךְ,mey melekh,מי מלך
מֵי נֶגֶר,mei neger,מי נגר
מֵי נֵטֶל,mey netel,מי נטל
מֵי רַגְלַיִם,mei raglayim,מי רגלים
מֵי שִׁפּוּלַיִם,mey shipulayim,מי שפולים
מֵי שָׁפִיר,mei shafir,מי שפיר
מֵי שְׁתִיָּה,mey shtiyah,מי שתיה
מְיַבֵּשׁ כְּבִיסָה,meyabesh kvisa,מיבש כביסה
מִיגְרֶנָה,migrena,מיגרנה
מֵידָע,"meyda,meda",מידע
מְיוּאוֹן,myu'on,מיואון
מִיוֹזָה,meyoza,מיוזה
מיוזיס,,מיוזיס
מִיוֹמָה,mioma,מיומה
מִיּוּן,miyun,מיון
מִיּוּן עוֹלָם הטֶבָע,,מיון עולם הטבע
מָיוֹנֶז,mayonez,מיונז
מְיוֹקֵן,,מיוקן
מיזאנדריה,,מיזאנדריה
מִיזוֹגִינְיָה,,מיזוגיניה
מיזולוגיה,,מיזולוגיה
מִיזְלִי,mizli,מיזלי
מֵיזָם,mezam,מיזם
מִיזַנְסְצֶנָה,mizanstzena,מיזנסצנה
מִיזַנְתְּרוֹפּ,mizantrop,מיזנתרופ
מִיזַנְתְּרוֹפְּיָה,,מיזנתרופיה
מֵיזָע,meiza,מיזע
מְיֻזָּע,meyuza,מיזע
מִטָּה יְהוּדִית,mitah yehudit,מיטה יהודית
מִיטוֹזָה,mitoza,מיטוזה
מיטוטי,,מיטוטי
מִיטוֹכוֹנְדְרִיָּה,,מיטוכונדריה
מִיטוֹכוֹנְדְּרִיּוֹן,mitokhondriyon,מיטוכונדריון
מִיכָה,mikha,מיכה
מִיל,mil,מיל
מֵיל,meyl,מיל
מִיל יַבַּשְׁתִּי,mil yabashti,מיל יבשתי
מִיל יַמִּי,mil yami,מיל ימי
מְיַלֶּדֶת,myaledet,מילדת
מִילָה,mila,מילה
מִלָּה מִתְהַפֶּכֶת,mila mithapekhet,מילה מתהפכת
מילודון,,מילודון
מִילִי  וָאט,mili vat,מילי ואט
מִילִי־,mili,מילי־
מִילְיַארְד,milyard,מיליארד
מִילְיַארְדִּית,,מיליארדית
מִילְיַארְדֶּר,,מיליארדר
מִילְיוֹנִית,milyonit,מיליונית
מִילִיטָרִיזְם,militarizm,מיליטריזם
מִילִיטָרִיסְט,militarist,מיליטריסט
מִילִילִיטֶר,mililiter,מיליליטר
מִילִימֶטֶר,milimeter,מילימטר
מִילִימֶטְרִי,milimetri,מילימטרי
מִילִימִיקְרוֹן,milimikron,מילימיקרון
מִילֶנְיוּם,milenium,מילניום
מִילֶפְיוֹרִי,,מילפיורי
מִילְקְשֵׁיְק,,מילקשיק
מַיִם,mayim,מים
מַיִם אַחֲרוֹנִים,maim acharonim,מים אחרונים
מַיִם גְּנוּבִים יִמְתָּקוּ,mayim gnuvim yimtaku,מים גנובים ימתקו
מַיִם טֶרִיטוֹרְיָאלִיִּים,mayim teritoryaliyim,מים טריטוריאליים
מַיִם כְּבֵדִים,mayim kvedim,מים כבדים
מים מגולים,,מים מגולים
מַיִם מְזֻקָּקִים,mayim mezukakim,מים מזקקים
מַיִם מְלוּחִים,mayim melukhim,מים מלוחים
מַיִם מְלִיחִים,mayim melikhim,מים מליחים
מַיִם מְתוּקִים,mayim metukim,מים מתוקים
מַיִם פְּנִימִיִּים,mayim penimiyim,מים פנימיים
מַיִם קָשִׁים,mayim kashim,מים קשים
מַיִם רִאשׁוֹנִים,mayim rishonim,מים ראשונים
מַיִם שַׁפִּירִים,mayim shapirim,מים שפירים
מִימוּנָה,mimuna,מימונה
מֵימֵי חוֹפִים,meymey khofim,מימי חופים
מֵימָן,mayman,מימן
מְיֻמָּן,meyuman,מימן
מֵימָן עַל חַמְצָנִי,,מימן על חמצני
מֵימָן פַּחְמָתִי,meiman pakhmati,מימן פחמתי
מֵימָן צִיאָנִידִי,,מימן ציאנידי
מְיֻמָּנוּת,meyumanut,מימנות
מִין {{משני|א}},min,מין
מִין {{משני|ב}},min,מין
מִין אָנָאלִי,min anali,מין אנאלי
מִינוֹטָאוּר,minota'ur,מינוטאור
מִינִי {{משני|ב}},mini,מיני
מִינִי {{משני|א}},mini,מיני
מִינֵי תַּרְגִימָה,minei targima,מיני תרגימה
מִינְיָאטוּרִי,minyaturi,מיניאטורי
מִינִיבּוּס,,מיניבוס
מִינִיוָאן,minivan,מיניואן
מִינִיּוּת,miniyut,מיניות
מִינִימַרְקֶט,,מינימרקט
מִינָנוּת,minanut,מיננות
מֵינְסְטְרִים,,מינסטרים
מינסמיט,,מינסמיט
מִינָרֶט,minaret,מינרט
מִינֶרָל,,מינרל
מִיסְטִיקָה,mistika,מיסטיקה
מיעור,,מיעור
מֵיעָז,mey'az,מיעז
מְיֹעָר (גם: מְיֻעָר),meyo׳ar,מיער
מִיץ,mits,מיץ
מְיַצֵּב גֹּבַהּ,meyatsev gova,מיצב גבה
מיק צ'ק,,מיק צ'ק
מֵיְקְאַפּ,makeup,מיקאפ
מִיקוֹטְרוֹפִי,mikotropi,מיקוטרופי
מִיקוֹפְּלַזְמָה,,מיקופלזמה
מִיקוֹרִיזָה,mikoriza,מיקוריזה
מִיקְסֶר,mixer,מיקסר
מִיקְרוֹ־,mikro,מיקרו־
מִיקְרוֹאוֹרְגָּנִיזְם,,מיקרואורגניזם
מִיקְרוֹאֶלֶקְטְרוֹנִיקָה,mikroelektronika,מיקרואלקטרוניקה
מִיקְרוֹבִּיוֹלוֹג,mikrobiolog,מיקרוביולוג
מִיקְרוֹגַל,mikrogal,מיקרוגל
מִיקְרוֹגַל פוטוניקה,,מיקרוגל פוטוניקה
מִיקְרוֹגְרַפְיָה,mikrografya,מיקרוגרפיה
מִיקְרוֹטֶכְנוֹלוֹגְיָה,mikrotekhnologya,מיקרוטכנולוגיה
מִיקְרוֹמֶטֶר,mikrometer,מיקרומטר
מִיקְרוֹן,mikron,מיקרון
מִיקְרוֹסְקוֹפּ,mikroscope,מיקרוסקופ
מִיקְרוֹסְקוֹפּ אוֹפְּטִי,,מיקרוסקופ אופטי
מִיקְרוֹסְקוֹפִּי,mikroskopi,מיקרוסקופי
מיקרופאונה,,מיקרופאונה
מִיקְרוֹפוֹן,mikrofhone,מיקרופון
מיקרופור,,מיקרופור
מִיקְרוֹפִילְם,,מיקרופילם
מִיקְרוֹפִישׁ,,מיקרופיש
מִיקְרוֹפָּלֵאוֹנְטוֹלוֹגְיָה,mikropaleontologya,מיקרופלאונטולוגיה
מיקרופלואידיקה,,מיקרופלואידיקה
מירנה,,מירנה
מִישׁוֹר,mishor,מישור
מִישׁוֹר הַמִילְקֶה,mishor hamilke,מישור המילקה
מישק,,מישק
מֵיתָד,meitad,מיתד
מיתול,,מיתול
מִיתוֹלוֹגְיָה,mitologya,מיתולוגיה
מִיתוֹס,mitos,מיתוס
מֵיתָר,meitar,מיתר
מְיֻתָּר,meyutar,מיתר
מִיתַת נְשִׁיקָה,mitat neshika,מיתת נשיקה
מָךְ,makh,מך
מַכְאוֹב,makhov,מכאוב
מַכְבֵּנָה,makhbena,מכבנה
מִכְבָּסָה,mikhbasa,מכבסה
מֶכָּה,meka,מכה
מַכָּה,maka,מכה
מַכָּה מַקְדִּימָה,maka makdima,מכה מקדימה
מַכָּה מִתַּחַת לַחֲגוֹרָה,makah mitakhat lakhagorah,מכה מתחת לחגורה
מְכוּלָה,mekhulah,מכולה
מְכוּלָה מְקֹרֶרֶת,mekhulah mekoreret,מכולה מקררת
מְכוּלַת קֵרוּר,mekhulat kerur,מכולת קרור
מְכוֹנָאוּת יַמִּית,mekhonaut yamit,מכונאות ימית
מְכוֹנַאי,mekhonai,מכונאי
מְכוֹנַאי יַמִּי,mekhonai yami,מכונאי ימי
מְכוֹנָה {{משני|ב}},mekhonah,מכונה
מְכוֹנָה {{משני|א}},mekhonah,מכונה
מְכוֹנִית,mekhonit,מכונית
מְכוֹנִית מֵרוֹץ,mekhonit merots,מכונית מרוץ
מְכוֹנִית תֹּפֶת,mekhonit tofet,מכונית תפת
מְכוֹנָן,mekhonan,מכונן
מְכוֹנַת אֱמֶת,mekhonat emet,מכונת אמת
מְכוֹנַת גִּלּוּחַ,,מכונת גלוח
מְכוֹנַת הַצְפָּנָה,mekhonat hatspana,מכונת הצפנה
מְכוֹנַת חֹם,mehonat hom,מכונת חם
מְכוֹנַת חִשּׁוּב,mekhonat khishuv,מכונת חשוב
